[2025-01-02 21:43:03,139] 20 root - INFO -Initiate the data ingestion 
[2025-01-02 21:43:10,512] 65 root - INFO -Performed train test split on the dataframe 
[2025-01-02 21:43:10,512] 67 root - INFO -Exited split_data_as_train_test method of Data_Ingestion class 
[2025-01-02 21:43:10,512] 75 root - INFO -Exporting train and test file path. 
[2025-01-02 21:43:10,610] 84 root - INFO -Exported train and test file path. 
[2025-01-02 21:43:10,610] 22 root - INFO -Data Initiation Completed 
[2025-01-02 21:43:10,625] 26 root - INFO -Initiate the data Validation 
[2025-01-02 21:43:10,776] 32 root - INFO -Required number of columns:2 
[2025-01-02 21:43:10,776] 33 root - INFO -Data frame has columns:31 
[2025-01-02 21:43:10,776] 32 root - INFO -Required number of columns:2 
[2025-01-02 21:43:10,776] 33 root - INFO -Data frame has columns:31 
[2025-01-02 21:43:11,084] 28 root - INFO -data Validation Completed 
[2025-01-02 21:43:11,099] 31 root - INFO -data Transformation started 
[2025-01-02 21:43:11,099] 63 root - INFO -Entered initiate_data_transformation method of DataTransformation class 
[2025-01-02 21:43:11,099] 65 root - INFO -Starting data transformation 
[2025-01-02 21:43:11,193] 48 root - INFO -Entered get_data_trnasformer_object method of Trnasformation class 
[2025-01-02 21:43:11,193] 53 root - INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[2025-01-02 21:43:11,244] 46 root - INFO -Entered the save_object method of MainUtils class 
[2025-01-02 21:43:11,263] 50 root - INFO -Exited the save_object method of MainUtils class 
[2025-01-02 21:43:11,263] 46 root - INFO -Entered the save_object method of MainUtils class 
[2025-01-02 21:43:11,271] 50 root - INFO -Exited the save_object method of MainUtils class 
[2025-01-02 21:43:11,276] 35 root - INFO -data Transformation completed 
[2025-01-02 21:43:11,276] 37 root - INFO -Model Training sstared 
[2025-01-02 21:55:47,178] 46 root - INFO -Entered the save_object method of MainUtils class 
[2025-01-02 21:55:47,178] 50 root - INFO -Exited the save_object method of MainUtils class 
[2025-01-02 21:55:47,178] 46 root - INFO -Entered the save_object method of MainUtils class 
[2025-01-02 21:55:47,275] 50 root - INFO -Exited the save_object method of MainUtils class 
[2025-01-02 21:55:47,275] 118 root - INFO -Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_02_2025_21_42_59\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912112334579251, precision_score=0.9903108599111828, recall_score=0.9921132457027301), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9745693191140279, precision_score=0.9690048939641109, recall_score=0.9801980198019802)) 
[2025-01-02 21:55:47,283] 42 root - INFO -Model Training artifact created 
